"_id","_rev","roomRef","joined","LPG_MQ9_Level","CH4_MQ9_Level","CO_MQ9_Level","CO_MQ135_Level","Alcool_MQ135_Level","CO2_MQ135_Level","Toluen_MQ135_Level","MH4_MQ135_Level","Aceton_MQ135_Level","O3_MQ131_Level","Temperatura_Level","Humidade_Level","QualityAirConcept","CO_MQ9_Level_IQAR","CO_MQ135_Level_IQAR","O3_MQ131_Level_IQAR","CalcHeatIndex","TargetConcept"
"005c074e-a75d-4c27-b0c3-cd9bd59d1fc0","1-8f29e00e5e5a4a6613ff4d248a11b13c","Lab Eng Quimica","14/03/24,12:01",11.96,20.03,6.37,241.06,36.73,56.58,20.09,57.32,15.77,1.6,26.7,68,"Péssima",26.666666666666668,400,0.8,28.225053534872796,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"01dca78c-d06d-49fe-ae7e-de2e81d352fd","1-a45e324b9d2aea3f7d07842d7f3d3aee","Lab Eng Quimica","14/03/24,15:37",13.85,23.92,7.41,93.28,17.06,28.37,8.75,31.57,7,1.65,27.1,68,"Péssima",31.111111111111114,400,0.8,28.852316016152805,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"033a7b60-9d5a-4924-ba50-57c7fdaae20b","1-c89b6770e1ce9329c05b4f06ba71920c","Lab Eng Quimica","14/03/24,13:37",10.77,17.64,5.72,53.22,10.84,18.87,5.36,22.19,4.33,1.52,26.7,68,"Péssima",26.666666666666668,400,0.8,28.225053534872796,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"04eed20f-dfe6-4a07-9940-652673a92635","1-7ba794b4a9485b66ec8fd0f8fa6ddb03","Lab Eng Quimica","14/03/24,13:03",9.07,14.32,4.8,58.09,11.64,20.11,5.78,23.45,4.67,1.4,26.7,68,"Péssima",22.22222222222222,400,0.4,28.225053534872796,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"07c80b4b-63ad-4a1f-ac93-1238960a1e9c","1-2a29ee290d160a147654f94a8bd718a0","Lab Eng Quimica","14/03/24,10:22",9.79,15.72,5.19,5.29,1.68,3.52,0.71,5.2,0.6,1.19,,,"Boa",22.22222222222222,22.22222222222222,0.4,,"Não encontrado"
"08c39edf-5de7-42d1-b6bd-7c745e44277c","1-e9434632268f43b2b0dbf08bb21e764a","Lab Eng Quimica","14/03/24,10:59",7.97,12.25,4.2,32.7,7.32,13.24,3.5,16.35,2.85,1.41,26.9,69,"Péssima",17.77777777777778,300.5,0.4,28.61051850406418,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"0aae180d-4e88-42e3-aa17-dfc6a75c3919","1-dda1c9f09f7b96d281525b5bd8cf4f63","Lab Eng Quimica","14/03/24,15:33",14.31,24.88,7.66,115.05,20.21,33.05,10.52,36.02,8.37,1.65,27.6,68,"Péssima",35.55555555555556,400,0.8,29.691081049052798,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"0b6274e7-007a-4726-b074-4bfca60064fb","1-e8959714594e7d277ee80221388c6d4d","Lab Eng Quimica","14/03/24,10:22",7.19,10.81,3.78,3.9,1.31,2.82,0.54,4.3,0.46,1.2,,,"Boa",17.77777777777778,17.77777777777778,0.4,,"Não encontrado"
"0bb1ec3c-757b-4bc2-a0c5-346f7306f73a","1-63e941b8f92824ced741081efff7d6ba","Lab Eng Quimica","14/03/24,10:48",7.31,11.03,3.85,29.49,6.73,12.28,3.2,15.32,2.61,1.38,26.7,69,"Péssima",17.77777777777778,277.0882352941176,0.4,28.292644831424248,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"0bf78d21-5eba-44de-929f-d5083f6fdd2e","1-785f9cb44eb74b41669bd4ba2620e06d","Lab Eng Quimica","14/03/24,10:32",6.7,9.93,3.52,51.48,10.56,18.42,5.2,21.74,4.21,1.49,27.6,68,"Péssima",17.77777777777778,400,0.4,29.691081049052798,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
