"_id","_rev","roomRef","joined","LPG_MQ9_Level","CH4_MQ9_Level","CO_MQ9_Level","CO_MQ135_Level","Alcool_MQ135_Level","CO2_MQ135_Level","Toluen_MQ135_Level","MH4_MQ135_Level","Aceton_MQ135_Level","O3_MQ131_Level","Temperatura_Level","Humidade_Level","QualityAirConcept","CO_MQ9_Level_IQAR","CO_MQ135_Level_IQAR","O3_MQ131_Level_IQAR","CalcHeatIndex","TargetConcept"
"0019693e-e8c9-4be6-b694-f043a9791e63","1-433c215ae2204f3ce4d9f704082dd07d","Corredor IESB","14/04/24,12:01",0.89,0.86,0.44,0.08,0.06,0.17,0.02,0.37,0.02,3.72,26.3,91,"Boa",0,0,1.6,22.907,"Não encontrado"
"00246a14-818a-4efe-9c34-98b1c40267ec","1-b5f9b7e223f9a5b24be0b907e8ce4a25","Corredor IESB","12/04/24,17:13",2.91,3.62,1.49,0.67,0.32,0.79,0.12,1.43,0.1,3.86,30.8,84,"Boa",4.444444444444445,4.444444444444445,1.6,41.61087243632327,"Perigo:  cãibras e exaustão pelo calor são prováveis; a insolação é provável com atividade contínua."
"002ae783-b0a1-4256-b5d8-c66dcf419d00","1-a37721d03220a6c213aa101545e52b46","Corredor IESB","14/04/24,00:16",0.29,0.22,0.14,0.01,0.01,0.04,0,0.1,0,3.58,27.6,93,"Boa",0,0,1.6,33.43365843565779,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"00303cdb-3421-4e9f-af62-fab9afbc2566","1-88ea98fd5b6798fc6886c60f8135508b","Laboratorio de neurociencias  e comportamento","12/04/24,15:42",8.66,13.54,4.58,87.83,16.25,27.16,8.3,30.4,6.65,6.29,27.6,71,"Péssima",22.22222222222222,400,2.4000000000000004,30.02522023790022,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"00387c77-9d8b-4b9e-92c4-7d7a6f2b6228","1-43dff2935c7fa2a62380c6029b0304f2","Corredor IESB","13/04/24,06:10",1.34,1.41,0.67,0.17,0.1,0.28,0.03,0.59,0.03,3.74,26.2,90,"Boa",4.444444444444445,0,1.6,22.750000000000004,"Não encontrado"
"003a9cd6-d320-45dc-a83c-d5f3621b30a5","1-fafde99f608593a7ed18f18c5eebdaa3","Corredor IESB","14/04/24,07:39",0.87,0.84,0.43,0.08,0.05,0.16,0.02,0.36,0.02,3.73,26.2,89,"Boa",0,0,1.6,22.703000000000003,"Não encontrado"
"004013fe-c1a6-4ace-a408-df023aa03ba0","1-a044f03f4416584bd05a6ea557802a2f","Corredor IESB","13/04/24,01:30",0.44,0.37,0.22,0.02,0.02,0.06,0.01,0.16,0.01,3.64,29.3,89,"Boa",0,0,1.6,37.96911799537624,"Cuidado extremo:  cãibras e exaustão pelo calor são possíveis. A atividade contínua pode resultar em insolação."
"0051792b-bb05-4e1a-8f4e-3586239b534f","1-8b1d9c387d15d3e779cbe165668b8bfa","Corredor IESB","13/04/24,10:20",0.71,0.65,0.35,0.05,0.04,0.12,0.01,0.29,0.01,3.68,27.1,90,"Boa",0,0,1.6,31.37217766961999,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
"006097a7-2992-483d-8256-9c6f9e181e05","1-ffa1b5b0a105c44bc75d75a411dfed27","Laboratorio de neurociencias  e comportamento","12/04/24,17:47",2.99,3.73,1.53,20.81,5.08,9.54,2.36,12.31,1.94,4.88,25.8,68,"Péssima",8.88888888888889,230.26470588235293,2,21.276,"Não encontrado"
"0066a4ef-0e84-4487-a061-2f366dc39441","1-1fc69c98ce92f19bb1ab887913d27a77","Corredor IESB","13/04/24,07:04",1.37,1.45,0.69,0.18,0.11,0.3,0.04,0.61,0.03,3.78,27.1,89,"Boa",4.444444444444445,0,1.6,31.190853480816234,"Cuidado: a fadiga é possível com exposição e atividade prolongadas. A atividade contínua pode resultar em cãibras causadas pelo calor."
