"_id","_rev","roomRef","joined","LPG_MQ9_Level","CH4_MQ9_Level","CO_MQ9_Level","CO_MQ135_Level","Alcool_MQ135_Level","CO2_MQ135_Level","Toluen_MQ135_Level","MH4_MQ135_Level","Aceton_MQ135_Level","O3_MQ131_Level","Temperatura_Level","Humidade_Level","QualityAirConcept","CO_MQ9_Level_IQAR","CO_MQ135_Level_IQAR","O3_MQ131_Level_IQAR","CalcHeatIndex","TargetConcept"
"0000cbe5-a45d-4683-8745-68c19ccb9e38","1-6522c8a9c25fe92b4732bd8ac49509ea","rtosONv1_Galpao","21/06/24,10:35:45",,,,2.55,0.93,2.08,0.38,3.29,0.32,0.58,,,"Boa",,13.333333333333334,0.4,,
"0019d2df-10da-415b-88d6-56b73411eba9","1-cf89ee55def6cd2d0f35419ef0e30845","rtosOFFv1_Galpao","20/06/24,13:04:52",,,,4.05,1.35,2.9,0.56,4.4,0.48,1.51,,,"Boa",,17.77777777777778,0.8,,
"002f370b-6762-4dd5-8b64-893796782ffd","1-b927702cd14f26dc32d78f1f28dd9e71","rtosOFFv1_Galpao","21/06/24,11:43:00",,,,4.18,1.39,2.97,0.58,4.49,0.49,1.59,,,"Boa",,17.77777777777778,0.8,,
"003ccec5-8762-4473-bad4-9ca63f8ad028","1-f6ce3b606ea64c2d5e34b2c38c5856f4","rtosONv1_Galpao","21/06/24,10:33:39",,,,2.52,0.92,2.05,0.37,3.27,0.32,0.59,,,"Boa",,13.333333333333334,0.4,,
"0048addc-0b67-4233-9ce8-01ecba461003","1-d922de60c06ac70943a9ef6dcc25f10f","rtosOFFv1_Galpao","21/06/24,12:42:52",,,,4.05,1.35,2.9,0.56,4.4,0.48,0.7,,,"Boa",,17.77777777777778,0.4,,
"004cdca2-b816-41dd-98e7-cbcfff818dde","1-7028833fc8dfe07394e30f4440b2b45d","rtosOFFv1_Galpao","21/06/24,11:27:56",,,,4.3,1.42,3.03,0.59,4.57,0.5,2.09,,,"Boa",,17.77777777777778,0.8,,
"005d59d1-3c4f-447f-a1c9-006d814cb101","1-2f4768db8a1680c6346f50a1c093cd4e","rtosONv1_Galpao","20/06/24,12:43:14",,,,3.91,1.32,2.83,0.55,4.3,0.46,1.84,,,"Boa",,17.77777777777778,0.8,,
"00602d6d-2d48-42fe-ba02-c9e253a87b26","1-a2cb218bed562f4ebb7742fd50b29555","rtosONv1_Galpao","20/06/24,12:55:29",,,,4.29,1.42,3.02,0.59,4.56,0.5,1.88,,,"Boa",,17.77777777777778,0.8,,
"006286ff-45ec-42ac-8d03-c2a29db6d1fe","1-8559a56c96160137ad4d12c229b8f972","rtosONv1_Galpao","21/06/24,12:27:41",,,,2.44,0.9,2,0.36,3.2,0.31,0.84,,,"Boa",,8.88888888888889,0.4,,
"007c4c2d-3837-40ff-92c5-0e13db24dada","1-55f93f78c2d0c228a1dc5f21942ef088","rtosONv1_Galpao","21/06/24,10:25:53",,,,3,1.06,2.33,0.43,3.64,0.37,0.62,,,"Boa",,13.333333333333334,0.4,,
